nohup: ignoring input
Initializing TensorFlow...
Running util_scripts.evaluate_metrics()...
Logging output to results/002-pgan-masks_complete_full_no_empty-preset-v2-1gpu-fp32/metric-fid-10k.txt
Streaming data using dataset.TFRecordDataset...
WARNING:tensorflow:From /nobackup/data/mehfo331/Code/progressive_growing_of_gans/dataset.py:74: tf_record_iterator (from tensorflow.python.lib.io.tf_record) is deprecated and will be removed in a future version.
Instructions for updating:
Use eager execution and: 
`tf.data.TFRecordDataset(path)`
WARNING:tensorflow:From /nobackup/data/mehfo331/Conda/PGAN/lib/python3.6/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
Dataset shape = [1, 256, 256]
Dynamic range = [0, 6]
Label size    = 0
Initializing metrics.frechet_inception_distance.API...
WARNING:tensorflow:From /nobackup/data/mehfo331/Code/progressive_growing_of_gans/metrics/frechet_inception_distance.py:55: FastGFile.__init__ (from tensorflow.python.platform.gfile) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.gfile.GFile.
2020-07-14 11:35:29.916049: W tensorflow/core/framework/op_def_util.cc:355] Op BatchNormWithGlobalNormalization is deprecated. It will cease to work in GraphDef version 9. Use tf.nn.batch_normalization().

Snapshot  Time_eval   FID       
---       ---         ---       
Reals     1m 05s      0.0000    
12000     2m 50s      2.7865    
11960     2m 49s      2.6035    
11920     2m 50s      3.1318    
11880     2m 48s      2.9678    
11840     2m 49s      2.5832    
11800     2m 47s      2.6031    
11760     2m 48s      2.6319    
11720     2m 48s      2.7230    
11680     2m 47s      2.7550    
11640     2m 47s      2.7822    
11600     2m 50s      2.7643    
11560     2m 51s      2.6734    
11520     2m 50s      2.7222    
11480     2m 49s      2.8373    
11440     2m 48s      2.6224    
11400     2m 48s      2.9304    
11360     2m 49s      2.8050    
11320     2m 51s      2.6416    
11280     2m 50s      2.8552    
11240     2m 48s      2.5308    
11200     2m 47s      2.6068    
11160     2m 48s      2.8610    
11120     2m 49s      2.8571    
11080     2m 50s      2.6992    
11040     2m 50s      2.8043    
11000     2m 48s      2.6832    
10960     2m 47s      2.5677    
10920     2m 47s      2.5670    
10880     2m 49s      2.8188    
10840     2m 51s      2.8636    
10800     2m 50s      2.6337    
10760     2m 49s      2.6679    
10720     2m 48s      2.6898    
10680     2m 47s      2.7757    
10640     2m 49s      2.4509    
10600     2m 50s      2.8939    
10560     2m 49s      2.6955    
10520     2m 49s      2.7751    
10480     2m 47s      2.8909    
10440     2m 47s      2.5777    
10400     2m 50s      2.4899    
10360     2m 51s      2.5849    
10320     2m 50s      2.7588    
10280     2m 49s      2.6044    
10240     2m 48s      2.5526    
10200     2m 47s      2.6794    
10160     2m 49s      2.5195    
10120     2m 50s      2.9344    
10080     2m 50s      2.7694    
10040     2m 48s      2.4504    
10000     2m 47s      2.7779    
9960      2m 47s      2.6046    
9920      2m 49s      2.7027    
9880      2m 53s      2.6033    
9840      2m 50s      2.7792    
9800      2m 48s      2.6468    
9760      2m 47s      2.6412    
9720      2m 47s      2.5071    
9680      2m 50s      2.4769    
9640      2m 50s      2.6738    
9600      2m 49s      2.5439    
9560      2m 48s      2.4250    
9520      2m 47s      2.7444    
9480      2m 47s      2.4957    
9440      2m 50s      2.7813    
9400      2m 51s      2.5497    
9360      2m 50s      2.5344    
9320      2m 48s      2.3704    
9280      2m 48s      2.3669    
9240      2m 48s      2.5339    
9200      2m 50s      2.4625    
9160      2m 50s      2.6035    
9120      2m 49s      2.5584    
9080      2m 49s      2.6657    
9040      2m 48s      2.6755    
9000      2m 48s      2.5753    
8960      2m 49s      2.3400    
8920      2m 50s      2.5672    
8880      2m 50s      2.6993    
8840      2m 48s      2.7844    
8800      2m 48s      2.6579    
8760      2m 47s      2.7362    
8720      2m 49s      2.5759    
8680      2m 51s      2.2780    
8640      2m 50s      2.4831    
8600      2m 50s      2.6055    
8560      2m 48s      2.6093    
8520      2m 47s      2.5859    
8480      2m 50s      2.5540    
8440      2m 50s      2.3380    
8400      2m 51s      2.5498    
8360      2m 48s      2.5280    
8320      2m 47s      2.3291    
