nohup: ignoring input
Initializing TensorFlow...
Running util_scripts.evaluate_metrics()...
Logging output to results/002-pgan-masks_complete_full_no_empty-preset-v2-1gpu-fp32/metric-swd-16k.txt
Streaming data using dataset.TFRecordDataset...
WARNING:tensorflow:From /nobackup/data/mehfo331/Code/progressive_growing_of_gans/dataset.py:74: tf_record_iterator (from tensorflow.python.lib.io.tf_record) is deprecated and will be removed in a future version.
Instructions for updating:
Use eager execution and: 
`tf.data.TFRecordDataset(path)`
WARNING:tensorflow:From /nobackup/data/mehfo331/Conda/PGAN/lib/python3.6/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
Dataset shape = [1, 256, 256]
Dynamic range = [0, 6]
Label size    = 0
Initializing metrics.sliced_wasserstein.API...

Snapshot  Time_eval   SWDx1e3_256  SWDx1e3_128  SWDx1e3_64   SWDx1e3_32   SWDx1e3_16   SWDx1e3_avg  
---       ---         ---          ---          ---          ---          ---          ---          
Reals     15m 16s     0.0000       0.0000       0.0000       0.0000       0.0000       0.0000       
Reals2    15m 08s     1.5145       1.4371       1.6464       1.4349       0.9970       1.4060       
12000     16m 52s     14.1560      5.7453       4.2687       4.6263       5.0733       6.7739       
11960     16m 50s     13.5531      6.1063       4.2513       4.3794       4.8126       6.6205       
11920     16m 49s     14.4200      6.0382       4.0642       4.9790       5.0248       6.9052       
11880     16m 50s     14.1007      5.4572       4.0479       4.4319       5.1365       6.6348       
11840     16m 50s     16.1219      7.2645       4.8739       4.7394       5.8488       7.7697       
11800     16m 50s     15.1033      6.1153       4.0516       4.3141       4.4997       6.8168       
11760     16m 52s     12.3034      5.0099       4.4985       5.3380       5.7779       6.5855       
11720     16m 50s     10.9072      3.7861       3.7399       5.0470       7.1158       6.1192       
11680     16m 52s     13.6807      5.1353       3.9910       4.0725       4.9955       6.3750       
11640     16m 50s     14.4169      6.7354       3.9506       4.7615       4.3952       6.8519       
